gene_symbol,log2FoldChange
1-Dec,-0.024375933200590616
1-Mar,-0.022995782752847305
1-Sep,-0.0016344594221964215
10-Mar,-0.04404480595216054
10-Sep,-0.07900403210546525
11-Mar,-0.033382474574504606
11-Sep,-0.011545626888015192
12-Sep,-0.010176597096818618
13-Sep,-0.049464654364742344
14-Sep,-0.02688143719515601
15-Sep,-0.009367005946524287
2-Mar,-0.052071741319786646
2-Sep,-0.12217223290146251
3-Mar,0.09376391950373719
3-Sep,-0.008938272654382295
4-Sep,-0.13684474355298093
5-Mar,-0.0737116932701376
5-Sep,0.014597104023162721
6-Mar,-0.021291801251200226
6-Sep,0.047664138877728135
7-Mar,0.04160131178459636
7-Sep,0.09374871026848908
7A5,0.002922995177406129
8-Mar,0.02662286497828248
8-Sep,-0.0010208416809645016
9-Mar,0.010812625031255685
9-Sep,0.2008950081428953
A1BG,0.026650671426112105
A1CF,-0.03208176566006138
A26C3,0.022418706614963035
A2BP1,-0.02131254047049591
A2LD1,-1.9848499595888116
A2M,0.22724921025050016
A3GALT2,-0.0160726363849939
A4GALT,0.4269347963091512
A4GNT,0.013645600855631379
AAA1,0.03670795471068722
AAAS,-0.042648320852503474
AACS,0.05447426555593715
AACSL,-0.0032935448653370614
AADAC,-0.031760962937716464
AADACL1,-0.12408762030519149
AADACL2,0.017270489176411274
AADACL3,-0.0019122762095094004
AADACL4,0.050661951330347677
AADAT,-0.13585220167806789
AAGAB,0.05365737471760834
AAK1,0.07529328430068905
AAMP,-0.05558902929404397
AARS,0.07067068626618145
AARS2,0.0775679657955397
AARSD1,-0.06366591363136731
AASDH,-0.045267564834852614
AASDHPPT,0.06346250479727189
AASS,0.03465372010438106
AATF,0.05838137946516042
AATK,0.03587131134255728
ABAT,-0.7078053063755965
ABCA1,-0.48731379130135544
ABCA10,-0.058177190257932665
ABCA11,-0.03676283106730427
ABCA13,-0.052579631961608086
ABCA2,-0.12869844797188623
ABCA3,-0.015000447642422365
ABCA4,-0.14838316604210533
ABCA5,-0.13210334489551112
ABCA6,-0.018614123915929426
ABCA7,0.039876165016477394
ABCA8,-0.34365727124583856
ABCA9,-0.055573449919815054
ABCB1,-0.6700205495018379
ABCB10,-0.20378083702088823
ABCB11,0.013909275073847205
ABCB4,-0.0369982902120789
ABCB6,0.019827838482053828
ABCB7,0.055017612218172474
ABCB8,0.01323804991437072
ABCB9,-0.06238989401218831
ABCC1,0.013578219526185542
ABCC10,0.08379655288188292
ABCC11,-0.010439694871574368
ABCC13,-0.03257631423708052
ABCC2,-0.08582934411232657
ABCC3,0.10740681565043708
ABCC4,-0.2701371053816999
ABCC5,0.3377144406304122
ABCC6,-0.5669156205064274
ABCC6P1,-0.15841750282069356
ABCC6P2,-0.19615692502424498
ABCC9,-0.029279565485154535
ABCD1,0.03222267977723181
ABCD2,0.010022430446416486
ABCD3,-0.36371041814850713
ABCD4,-0.0409980728346202
ABCE1,-0.12396181743060808
ABCF1,0.3192787632591667
ABCF2,0.033732738409481655
ABCF3,-0.008634883456542397
ABCG1,-0.1137412977949408
ABCG2,-0.1478687576851243
ABCG4,0.04722655806368614
ABCG5,0.001527203686952916
ABCG8,-0.03330272357291442
ABHD1,-0.10321006338939842
ABHD10,-0.6264017644027806
ABHD11,0.43881844983838647
ABHD12,-0.17491986623605182
ABHD12B,-0.03481284431016718
ABHD13,-0.005653770991123963
ABHD14A,-1.1163646380560976
ABHD14B,-0.2990181900523776
ABHD15,-0.23555614143687276
ABHD2,-0.012264013038375765
ABHD3,0.059121092456188684
ABHD4,0.09392335266882146
ABHD5,0.343412110167824
ABHD6,-0.5321315790461814
ABHD7,-0.037409521134554424
ABHD8,-0.19665072687100338
ABHD9,-0.036392544986885156
ABI1,0.01992548356404189
ABI2,0.03714220336678409
ABI3,-0.05364832413221965
ABI3BP,-0.4395087293102895
ABL1,0.15260266222247765
ABL2,0.17496172563362933
ABLIM1,0.038742917617556216
ABLIM2,0.20127716764160208
ABLIM3,0.2880723949839723
ABP1,-0.9873886956574456
ABR,-0.4718934946330364
ABT1,0.001768740892678089
ABTB1,-0.2023548599441023
ABTB2,-0.1120406600090833
ACAA1,-0.3865081124053873
ACAA2,-0.29380503716722295
ACACA,0.09988392825361636
ACACB,-0.18522248509307282
ACAD10,-0.03340702678213425
ACAD11,-0.4910199731079281
ACAD8,-0.38605403265173166
ACAD9,-0.036909417017067625
ACADL,-0.31844276619782264
ACADM,-0.5222148200511825
ACADS,-0.10269460195080526
ACADSB,-0.17093791797314317
ACADVL,0.26358821047693404
ACAP1,-0.003158229793917222
ACAP2,-0.008228354879723732
ACAT1,-0.3200424894837042
ACAT2,0.3663737933367628
ACBD3,0.29273960429081747
ACBD4,-0.32471258452703555
ACBD5,-0.0631429962055412
ACBD6,-0.027644773398499467
ACBD7,0.029944991620689088
ACCN1,-0.03473940838552103
ACCN2,0.007419284188824982
ACCN3,0.021911804030646742
ACCN5,-0.044002526251580854
ACCS,-0.2788203011862551
ACCSL,-0.007502029313625869
ACD,-0.04860237489138797
ACE,-0.06875974086562753
ACE2,-0.6535937348700607
ACER1,0.00024561919950105704
ACER2,-0.033373670591243965
ACER3,0.1650700738712647
ACHE,0.05145716757187735
ACIN1,0.1327516603732768
ACLY,0.10893917516116858
ACMSD,-0.5434261293879192
ACN9,-0.14105736181316786
ACO1,-0.0042464893869347264
ACO2,0.1274746219306433
ACOT1,-0.043558869409571876
ACOT11,-0.2022787161786006
ACOT12,-0.14804824930693616
ACOT2,-0.25317254082401774
ACOT4,-0.4983269263021146
ACOT6,-0.13569358802669296
ACOT7,-0.4359066048562479
ACOT8,-0.08278778255936725
ACOT9,0.13510045201495036
ACOX1,-0.2734302762987575
ACOX2,-0.7036486269342621
ACOX3,-0.015098043021024132
ACOXL,-0.020267731433905034
ACP1,-0.31917790961739634
ACP2,0.14102050028206392
ACP5,-0.2496265200855392
ACP6,-0.2717210070391056
ACPL2,-0.14014324703955605
ACPP,-0.2915641124007706
ACPT,-0.009832364750606892
ACR,0.03577005401225275
ACRBP,-0.016335371904697915
ACRC,-0.010122149060276975
ACSBG1,-0.009155511003342554
ACSBG2,-0.1812571138031016
ACSF2,-0.46388056258345145
ACSF3,-0.02182506957949304
ACSL1,0.20158233821184268
ACSL3,0.1628726284391604
ACSL4,0.3013149424077799
ACSL5,-0.042766764863526596
ACSL6,-0.06069497241685973
ACSM2A,-0.4623152900301122
ACSM2B,-0.2969882736613272
ACSM3,-0.3951307683735621
ACSM5,-0.18596457822558854
ACSS1,0.1094363156126974
ACSS2,0.14174779188959796
ACSS3,-0.12410714856818661
ACTA1,-0.16442158271895835
ACTA2,0.0762847185622082
ACTB,0.4244678066952936
ACTBL2,-0.01750128472800938
ACTC1,0.29568120851283286
ACTG1,0.3962163481498955
ACTG2,0.17678599521180782
ACTL6A,-0.012726337196394155
ACTL6B,0.02459471041950767
ACTL7B,0.04786000953499947
ACTL8,0.005184148352700646
ACTN1,0.25000542133749715
ACTN2,0.0007178026404401905
ACTN4,0.1382525847470415
ACTR10,-8.684903618139117e-05
ACTR1A,0.20378671468931486
ACTR1B,-0.10926044619965758
ACTR2,0.10066856387158651
ACTR3,0.3635533397180204
ACTR3B,-0.02646605945561209
ACTR5,0.02065067235741047
ACTR6,0.04415912639175623
ACTR8,-0.10405607629435298
ACTRT1,-0.11630173773168107
ACVR1,-0.005099237334832196
ACVR1B,0.05229923960687266
ACVR1C,0.018965161015753296
ACVR2A,-0.16305529141260955
ACVR2B,0.028152419369114945
ACVRL1,0.1316333955410336
ACY1,-0.7025115751327853
ACY3,-0.793338015663382
ACYP1,0.11547704315752405
ACYP2,-0.16416658179560795
ADA,0.18641927589161877
ADAD1,0.027175393989423036
ADAD2,-0.02640338350167859
ADAL,-0.10281892082070332
ADAM10,-0.019668680021904805
ADAM11,-0.005805346750618945
ADAM12,-0.034917024699332444
ADAM15,0.132995919580563
ADAM17,0.2783438610595006
ADAM19,0.10351886706197622
ADAM2,0.008648927452018285
ADAM22,0.05343462614235772
ADAM28,0.028793680162450208
ADAM29,-0.006895688152224189
ADAM30,0.009481976944409887
ADAM32,0.01853470570878546
ADAM3A,-0.04299334994055659
ADAM5,-0.011530868497263036
ADAM6,0.005900344844058658
ADAM7,0.03890298896398203
ADAM9,0.23936537200790386
ADAMDEC1,0.015212232500619649
ADAMTS1,2.2277952862786297
ADAMTS13,0.0010629783708244744
ADAMTS14,0.005991621574331418
ADAMTS15,-0.04012172262933955
ADAMTS17,-0.001198677993677677
ADAMTS18,-0.03025660519845541
ADAMTS19,-0.0017725408782611751
ADAMTS2,-0.0045081713139651924
ADAMTS20,-0.009690817847302746
ADAMTS3,0.06217997398883934
ADAMTS4,-0.015285924724465438
ADAMTS5,-0.017419360843344833
ADAMTS6,-0.020205653962907633
ADAMTS7,-0.015883265504486488
ADAMTS8,0.10889056310105083
ADAMTS9,0.5069717307939623
ADAMTSL1,-0.02307153185983335
