"GS","SIZE","ES","NES","NOM_pval","FDR_qval","Tag_pct","Edge_pct","Signal"
"KEGG_MEDICUS_REFERENCE_MEVALONATE_PATHWAY",2,0.92832,1.4992,0.012,0.168,1,0.0721,0.928
"KEGG_MEDICUS_PATHOGEN_SARS_COV_2_S_TO_ANGII_AT1R_NOX2_SIGNALING_PATHWAY",3,0.71496,1.2898,0.103,0.2926,0.667,0.0917,0.606
"KEGG_MEDICUS_ENV_FACTOR_NNK_NNN_TO_RAS_ERK_SIGNALING_PATHWAY",1,0.89593,1.1894,0.108,0.2926,1,0.104,0.896
"KEGG_MEDICUS_REFERENCE_IL1_IL1R_JNK_SIGNALING_PATHWAY",1,0.89593,1.1894,0.108,0.2926,1,0.104,0.896
"KEGG_MEDICUS_REFERENCE_TLR2_4_MAPK_SIGNALING_PATHWAY",1,0.89593,1.1894,0.108,0.2926,1,0.104,0.896
"KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_PSEN1_TO_PERK_ATF4_SIGNALING_PATHWAY",1,0.81126,1.0696,0.209,0.2926,1,0.189,0.811
"KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SNCA_TO_PERK_ATF4_SIGNALING_PATHWAY",1,0.81126,1.0696,0.209,0.2926,1,0.189,0.811
"KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SOD1_TO_PERK_ATF4_SIGNALING_PATHWAY",1,0.81126,1.0696,0.209,0.2926,1,0.189,0.811
"KEGG_MEDICUS_VARIANT_SCRAPIE_CONFORMATION_PRPSC_TO_PERK_ATF4_SIGNALING_PATHWAY",1,0.81126,1.0696,0.209,0.2926,1,0.189,0.811
"KEGG_MEDICUS_PATHOGEN_HTLV_1_TAX_TO_SRF_MEDIATED_TRANSCRIPTION",1,0.58515,0.77756,0.39,0.455,1,0.415,0.585
"KEGG_MEDICUS_PATHOGEN_HSV_GD_TO_HVEM_NFKB_SIGNALING_PATHWAY",1,0.55653,0.75242,0.447,0.481384615384615,1,0.444,0.557
"KEGG_MEDICUS_REFERENCE_TIGHT_JUNCTION_ACTIN_SIGNALING_PATHWAY",3,0.35491,0.63907,0.725,0.725,0.333,0.332,0.223
