"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Module"
"R-HSA-9033241","Peroxisomal protein import","5/43","63/11146",0.0793650793650794,20.5721668512366,9.69470529810152,4.00514702704808e-06,0.00075296764108504,0.000649255412805689,"DAO/EHHADH/HAO2/IDH1/PIPOX",5,2
"R-HSA-211859","Biological oxidations","7/43","222/11146",0.0315315315315315,8.17326628954536,6.71825817103433,1.98061253987861e-05,0.00186177578748589,0.00160533858495424,"ABHD10/AHCY/BPHL/CYP2J2/GLYAT/GLYATL1/GSTA2",7,2
"R-HSA-9609507","Protein localization","6/43","164/11146",0.0365853658536585,9.48326715825298,6.81080494707477,3.59710678694392e-05,0.00225418691981819,0.00194369980768198,"ALDH3A2/DAO/EHHADH/HAO2/IDH1/PIPOX",6,2
"R-HSA-156580","Phase II - Conjugation of compounds","5/43","109/11146",0.0458715596330275,11.8903349690634,7.11022035255803,5.84052616890997e-05,0.00229407744351103,0.0019780958919412,"ABHD10/AHCY/GLYAT/GLYATL1/GSTA2",5,2
"R-HSA-9748784","Drug ADME","5/43","110/11146",0.0454545454545455,11.7822410147992,7.0721852205269,6.1012697965719e-05,0.00229407744351103,0.0019780958919412,"ALB/GLYAT/GLYATL1/GSTA2/SLC22A8",5,2
"R-HSA-390918","Peroxisomal lipid metabolism","3/43","29/11146",0.103448275862069,26.8147554129912,8.66218201211993,0.00018223443515046,0.00571001230138107,0.00492352684441593,"ALDH3A2/EHHADH/HAO2",3,2
"R-HSA-8963899","Plasma lipoprotein remodeling","3/43","34/11146",0.0882352941176471,22.8714090287278,7.9482990547889,0.000294454049923061,0.00790819448364793,0.0068189358929551,"ALB/ANGPTL3/MTTP",3,2
"R-HSA-8978868","Fatty acid metabolism","5/43","176/11146",0.0284090909090909,7.36390063424947,5.29578694147796,0.000549136851173339,0.0129047160025735,0.011127246721144,"ALDH3A2/CYP2J2/EHHADH/HAO2/HPGD",5,2
"R-HSA-9749641","Aspirin ADME","3/43","44/11146",0.0681818181818182,17.6733615221987,6.89609106668035,0.000634429225071385,0.01325252159038,0.0114271462761396,"ALB/GLYAT/GLYATL1",3,2
"R-HSA-189451","Heme biosynthesis","2/43","14/11146",0.142857142857143,37.0299003322259,8.39449498623657,0.00128463209349239,0.0241510833576569,0.0208245623576661,"ALAD/ALB",2,2
