"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Module"
"R-HSA-6785807","Interleukin-4 and Interleukin-13 signaling","15/131","108/11146",0.138888888888889,11.8172179813401,12.3187232279119,1.73646373902361e-12,9.62000911419078e-10,7.7135547143996e-10,"BCL6/CCL2/CDKN1A/CEBPD/ICAM1/IL1B/IL6/JUNB/LIF/MCL1/MYC/PIM1/RHOU/SOCS1/SOCS3",15,1
"R-HSA-449147","Signaling by Interleukins","26/131","473/11146",0.0549682875264271,4.67692009747753,8.91158474810531,3.27927393180137e-11,9.08358879108979e-09,7.28343999589567e-09,"BCL6/CASP3/CCL2/CDKN1A/CEBPD/CISH/CLCF1/CXCL1/CXCL2/ICAM1/IL1B/IL6/IRS2/JUN/JUNB/LIF/MCL1/MYC/NFKB2/NFKBIA/PIM1/RHOU/RIPK2/SOCS1/SOCS3/TRAF6",26,1
"R-HSA-9031628","NGF-stimulated transcription","9/131","39/11146",0.230769230769231,19.6347621843805,12.712799739835,5.10351102167784e-10,9.42448368669841e-08,7.55677772332648e-08,"EGR1/FOSL1/ID2/JUNB/JUND/RRAD/SGK1/SRF/TRIB1",9,1
"R-HSA-198725","Nuclear Events (kinase and transcription factor activation)","9/131","61/11146",0.147540983606557,12.5533725441121,9.86709432488092,3.35909944362516e-08,4.65235272942085e-06,3.73036832949952e-06,"EGR1/FOSL1/ID2/JUNB/JUND/RRAD/SGK1/SRF/TRIB1",9,1
"R-HSA-187037","Signaling by NTRK1 (TRKA)","10/131","115/11146",0.0869565217391304,7.3986060404912,7.52160085197703,9.3368768570099e-07,0.00010345259557567,8.29507796559616e-05,"EGR1/FOSL1/ID2/IRS2/JUNB/JUND/RRAD/SGK1/SRF/TRIB1",10,1
"R-HSA-6783783","Interleukin-10 signaling","7/131","47/11146",0.148936170212766,12.6720805587137,8.74457512378346,1.12177011458009e-06,0.000103576773912895,8.30503488338241e-05,"CCL2/CXCL1/CXCL2/ICAM1/IL1B/IL6/LIF",7,1
"R-HSA-166520","Signaling by NTRKs","10/131","134/11146",0.0746268656716418,6.34954996012305,6.79391296781847,3.78312959235818e-06,0.000299407684880919,0.000240072283906038,"EGR1/FOSL1/ID2/IRS2/JUNB/JUND/RRAD/SGK1/SRF/TRIB1",10,1
"R-HSA-168643","Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways","6/131","57/11146",0.105263157894737,8.95620731217356,6.56720782988267,5.21763204852671e-05,0.00361321019360475,0.00289715884799772,"BIRC3/NFKB2/NLRP3/RIPK2/TNFAIP3/TRAF6",6,1
"R-HSA-112409","RAF-independent MAPK1/3 activation","4/131","23/11146",0.173913043478261,14.7972120809824,7.22316811459959,0.000135702077273453,0.00768342822451738,0.00616075757314523,"DUSP1/DUSP10/DUSP5/IL6",4,1
"R-HSA-6783589","Interleukin-6 family signaling","4/131","24/11146",0.166666666666667,14.1806615776081,7.04911861300601,0.000161366529728466,0.00768342822451738,0.00616075757314523,"CLCF1/IL6/LIF/SOCS3",4,1
"R-HSA-982772","Growth hormone receptor signaling","4/131","24/11146",0.166666666666667,14.1806615776081,7.04911861300601,0.000161366529728466,0.00768342822451738,0.00616075757314523,"CISH/IRS2/SOCS1/SOCS3",4,1
"R-HSA-400253","Circadian Clock","6/131","70/11146",0.0857142857142857,7.29291166848419,5.75960388136287,0.000166428048184492,0.00768342822451738,0.00616075757314523,"CRY2/NAMPT/NR1D1/PER1/SERPINE1/SIK1",6,1
"R-HSA-168164","Toll Like Receptor 3 (TLR3) Cascade","7/131","106/11146",0.0660377358490566,5.61875270056172,5.21046567329766,0.000244849596347067,0.0104343597212519,0.00836652062011841,"BIRC3/JUN/NFKB2/NFKBIA/RIPK2/TICAM1/TRAF6",7,1
"R-HSA-166166","MyD88-independent TLR4 cascade","7/131","111/11146",0.0630630630630631,5.36565573206795,5.04090182293631,0.000325090071142863,0.0115521470193296,0.0092627893637794,"BIRC3/JUN/NFKB2/NFKBIA/RIPK2/TICAM1/TRAF6",7,1
"R-HSA-937061","TRIF (TICAM1)-mediated TLR4 signaling","7/131","111/11146",0.0630630630630631,5.36565573206795,5.04090182293631,0.000325090071142863,0.0115521470193296,0.0092627893637794,"BIRC3/JUN/NFKB2/NFKBIA/RIPK2/TICAM1/TRAF6",7,1
"R-HSA-166016","Toll Like Receptor 4 (TLR4) Cascade","8/131","147/11146",0.054421768707483,4.63042010697409,4.83194946672385,0.000333636014998689,0.0115521470193296,0.0092627893637794,"BIRC3/JUN/NFKB2/NFKBIA/RIPK2/SOCS1/TICAM1/TRAF6",8,1
"R-HSA-5218859","Regulated Necrosis","5/131","60/11146",0.0833333333333333,7.09033078880407,5.15837015403117,0.000676089152122925,0.0220325523691824,0.0176662304765247,"BIRC3/CASP3/IL1B/IRF1/TNFRSF10B",5,1
"R-HSA-193639","p75NTR signals via NF-kB","3/131","16/11146",0.1875,15.9532442748092,6.52726538581729,0.000794423277869967,0.0233885471993493,0.0187534997494307,"NFKBIA/RIPK2/TRAF6",3,1
"R-HSA-2173796","SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription","4/131","36/11146",0.111111111111111,9.45377438507209,5.5402365435182,0.000802134290230391,0.0233885471993493,0.0187534997494307,"JUNB/MYC/SERPINE1/TGIF1",4,1
"R-HSA-168638","NOD1/2 Signaling Pathway","4/131","37/11146",0.108108108108108,9.19826696925934,5.44714415536501,0.000891246436727421,0.0240839353233714,0.0193110786746394,"BIRC3/RIPK2/TNFAIP3/TRAF6",4,1
"R-HSA-168898","Toll-like Receptor Cascades","8/131","172/11146",0.0465116279069767,3.95739392863483,4.26259779521167,0.000944712042114003,0.0240839353233714,0.0193110786746394,"BIRC3/JUN/NFKB2/NFKBIA/RIPK2/SOCS1/TICAM1/TRAF6",8,1
"R-HSA-1810476","RIP-mediated NFkB activation via ZBP1","3/131","17/11146",0.176470588235294,15.0148181409969,6.30619345728466,0.000956401763743992,0.0240839353233714,0.0193110786746394,"NFKB2/NFKBIA/TICAM1",3,1
"R-HSA-975138","TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation","6/131","103/11146",0.058252427184466,4.95634773586304,4.39898991042034,0.00132414698433163,0.0318946708399879,0.0255739142969312,"JUN/NFKB2/NFKBIA/RIPK2/TICAM1/TRAF6",6,1
"R-HSA-975155","MyD88 dependent cascade initiated on endosome","6/131","104/11146",0.0576923076923077,4.90869054609513,4.36724463635259,0.00139189380025436,0.0321295485558715,0.0257622448994448,"JUN/NFKB2/NFKBIA/RIPK2/TICAM1/TRAF6",6,1
"R-HSA-168927","TICAM1, RIP1-mediated IKK complex recruitment","3/131","20/11146",0.15,12.7625954198473,5.74158849559428,0.00156261063500116,0.0346274516716258,0.0277651237040206,"BIRC3/TICAM1/TRAF6",3,1
"R-HSA-168181","Toll Like Receptor 7/8 (TLR7/8) Cascade","6/131","108/11146",0.0555555555555556,4.72688719253605,4.24420510945581,0.00168970092464123,0.0357135836917752,0.0286360104843799,"JUN/NFKB2/NFKBIA/RIPK2/TICAM1/TRAF6",6,1
