"gene","degree","betweenness","closeness","eigenvector","pagerank","rank_degree","rank_betweenness","rank_closeness","rank_eigenvector","rank_pagerank","hub_score","high_confidence"
"IL6",57,0.225896330827424,0.385650224215247,1,0.0187494878346691,1,1,1,1,1,1,TRUE
"FOS",47,0.100854485054135,0.35030549898167,0.729864704586648,0.015508381972796,2.5,3,6,4,2,3.5,FALSE
"JUN",47,0.0876746969397611,0.359081419624217,0.818460223925604,0.0147152998549369,2.5,7,3,3,3,3.7,TRUE
"IL1B",43,0.0680168536441642,0.366347177848775,0.891248258767095,0.0131744341011927,4,11,2,2,4,4.6,FALSE
"MYC",29,0.0931238319860367,0.356476683937824,0.53637127164673,0.0111361885786959,8.5,5,4,10,6,6.7,TRUE
"HSP90AA1",38,0.0931002066046927,0.343313373253493,0.524517224409402,0.0124585661534277,5,6,8,11,5,7,TRUE
"NFKBIA",29,0.0581214911171267,0.340594059405941,0.576775616555318,0.00940260341653892,8.5,13,9,6,9,9.1,FALSE
"ALB",26,0.196320451901653,0.348530901722391,0.388525066695538,0.0104776296397977,12,2,7,18,8,9.4,FALSE
"HSP90AB1",33,0.0745623117208334,0.338916256157635,0.476200509887243,0.0109624171406855,6,9,12,13,7,9.4,TRUE
"CASP3",27,0.0563944623667054,0.355739400206825,0.551347135345674,0.00883549482422193,11,14,5,7,12,9.8,FALSE
"HSPA5",28,0.062999063674124,0.329186602870813,0.378431126741388,0.00916920512560586,10,12,14,20,10,13.2,TRUE
"CCL2",30,0.0222595061190493,0.339585389930898,0.66799139454035,0.00906977279627995,7,42,10,5,11,15,FALSE
"PTGS2",22,0.0425123875707598,0.339250493096647,0.539840151815132,0.00750857929816635,17.5,20,11,9,18,15.1,FALSE
"IL10",25,0.0292671803458885,0.337917485265226,0.547878085067134,0.00811660958968122,13.5,28,13,8,13,15.1,FALSE
"H3F3B",22,0.0391942064719571,0.3260663507109,0.338323858230229,0.00802052804569048,17.5,23,15,25,14,18.9,FALSE
"HIST4H4",22,0.0549215696738749,0.313868613138686,0.26530737992374,0.0076422138356545,17.5,16,21,35,16,21.1,FALSE
"ICAM1",22,0.0205140396622301,0.318223866790009,0.481875393557345,0.00705938856798338,17.5,47,19,12,20,23.1,FALSE
"ATF3",25,0.0171801752064542,0.322701688555347,0.470164541008245,0.00785678749296122,13.5,57,17,14,15,23.3,TRUE
"TRAF6",21,0.0272621510668018,0.316758747697974,0.326777994053063,0.00750488790239983,20,33,20,26,19,23.6,TRUE
"CXCR4",19,0.0245967976382532,0.308520179372197,0.386374620048508,0.00655899403155406,22,36,24,19,22,24.6,TRUE
"EGR1",23,0.0157579661818532,0.319702602230483,0.3715015931205,0.00758784366383309,15,60,18,21,17,26.2,FALSE
"EGR2",17,0.0444731348563253,0.303083700440529,0.236055267620481,0.00600926512630247,25,18,32.5,46,26,29.5,FALSE
"CEBPB",20,0.0116880288575305,0.324834749763928,0.401954070592176,0.00640742683628762,21,73,16,17,24,30.2,FALSE
"CDKN1A",15,0.0202105976250903,0.31131221719457,0.305586315369244,0.00518811471530547,31,48,22,29,36,33.2,FALSE
"UBC",18,0.0266223402202895,0.302019315188762,0.191098988120957,0.00641542692508182,23,34,38,52,23,34,TRUE
"SQSTM1",15,0.0758970884443876,0.29553264604811,0.131189123075873,0.00656324716988503,31,8,49.5,78,21,37.5,TRUE
"AGT",13,0.0208578353483999,0.306049822064057,0.237709003509101,0.00496539541285751,45,46,26,45,40,40.4,TRUE
"CSF3",15,0.00680529826938571,0.30963096309631,0.359534912455031,0.00491146923020505,31,98,23,22,44,43.6,TRUE
"SERPINE1",15,0.010660831175478,0.301754385964912,0.282844896882515,0.00516600060216595,31,83,39,32,37,44.4,TRUE
"SOCS3",14,0.0126488383422198,0.296296296296296,0.299335961741175,0.0049556114763416,37.5,69,47,30,41,44.9,FALSE
"IRF1",14,0.0129170508326339,0.300699300699301,0.25673963696188,0.00480494310803957,37.5,67,41.5,37,47,46,FALSE
"HIST2H2BE",17,0.0131852401060646,0.295786758383491,0.142370088250938,0.00564904160617407,25,66,48,69,29,47.4,FALSE
"VCAM1",14,0.00770375364002597,0.302284710017575,0.355230765236174,0.0046712473881077,37.5,93,37,23,49,47.9,TRUE
"UBB",15,0.0111394672660563,0.299651567944251,0.165490596028872,0.00498435829581982,31,80,43,62,39,51,TRUE
"SPP1",11,0.0138518003840463,0.304424778761062,0.176006400594582,0.00460569296755308,62.5,64,29.5,58,50,52.8,FALSE
"CXCL2",16,0.00191460185426959,0.303350970017637,0.423208994675793,0.00483468465475125,27,151,31,16,45,54,FALSE
"DUSP1",12,0.00707467623626138,0.304424778761062,0.22858842917378,0.00428670176264291,53,95,29.5,48,60,57.1,TRUE
"KNG1",12,0.0210853105951444,0.295025728987993,0.0970332331980666,0.00491925084378723,53,45,52,102,43,59,FALSE
"CXCL1",15,0.001053351254224,0.302550571679859,0.424871710853793,0.00454452845216986,31,163,35.5,15,53,59.5,FALSE
"PLG",14,0.0170379295725089,0.289318755256518,0.0907837177794439,0.00536543058728857,37.5,58,63,108,34,60.1,FALSE
"DDIT3",13,0.00587749648256616,0.295278969957082,0.243024842290113,0.00429158103650206,45,108,51,44,59,61.4,FALSE
"EDN1",12,0.00649424853946733,0.292765957446809,0.25027317028802,0.004292861401435,53,101,56.5,42,58,62.1,FALSE
"REL",13,0.00393197000106459,0.303083700440529,0.265709179722253,0.00424171751294404,45,136,32.5,34,64,62.3,FALSE
"JUNB",17,0.00296211101991375,0.28595178719867,0.243979419983167,0.00544751410124273,25,143,71.5,43,32,62.9,FALSE
"EIF2AK3",11,0.0086015692934146,0.302816901408451,0.2045656625378,0.0037716028811188,62.5,90,34,51,77,62.9,TRUE
"HMGCR",11,0.0991035677605861,0.288832913518052,0.0364118730396334,0.00558796176806726,62.5,4,66,156,30,63.7,TRUE
"STIP1",14,0.0290853849934127,0.26279602750191,0.120351417385135,0.00594811794906879,37.5,29,148,87,27,65.7,TRUE
"ATF4",13,0.00267436570628408,0.300699300699301,0.269907922645481,0.00406935518930463,45,145,41.5,33,69,66.7,TRUE
"VTN",13,0.0074487697284461,0.281736281736282,0.10638900343227,0.00516066442954248,45,94,79.5,94,38,70.1,FALSE
"NFKB2",13,0.00164665227320065,0.292765957446809,0.257098751437446,0.00424418531318723,45,154,56.5,36,62,70.7,FALSE
"JUND",13,0.00172162460885568,0.291278577476715,0.252846603361372,0.00424356710551686,45,152,61,38,63,71.8,TRUE
"NR4A1",10,0.00947757028070011,0.291525423728814,0.180393801232096,0.00352354788994141,72.5,86,59.5,55,88,72.2,TRUE
"REN",8,0.0120872338664912,0.304964539007092,0.128783419600955,0.00334861030684313,85.5,71,28,80,97,72.3,FALSE
"TNFAIP3",12,0.00216168611450091,0.29706390328152,0.25066779260233,0.00382430818346204,53,149,46,41,75,72.8,TRUE
"GPX8",7,0.0155504481370293,0.308243727598566,0.176325464136823,0.00290323317163719,98.5,61,25,57,124,73.1,FALSE
"FGA",11,0.0260553642313816,0.275641025641026,0.0547311123760557,0.00541622671166826,62.5,35,97.5,139,33,73.4,TRUE
"TCP1",10,0.021478942091777,0.27236737925574,0.0997558359151689,0.00478230716337522,72.5,43,105.5,99,48,73.6,TRUE
"CCR2",13,0.000536165073975512,0.288590604026846,0.342069322985585,0.0040432399967365,45,181,67,24,71,77.6,TRUE
"THBS1",9,0.00589168283270582,0.292268479184367,0.13606133877568,0.00348027634881686,78,107,58,74,90,81.4,TRUE
"DNAJB1",15,0.00138202094669913,0.269803921568627,0.157183650730745,0.00494325800622984,31,155,116.5,63,42,81.5,TRUE
"HMOX1",10,0.000937846023679244,0.302550571679859,0.292217522312207,0.0033029592971147,72.5,166,35.5,31,103,81.6,TRUE
"AFP",6,0.0211948892285659,0.298611111111111,0.0728956477751769,0.00334273828994353,115.5,44,45,124,99,85.5,FALSE
"BIRC3",11,0.00131180862296188,0.285240464344942,0.167806648756501,0.00364716050492027,62.5,159,74,60,81,87.3,FALSE
"BCL6",7,0.0088780943866414,0.299130434782609,0.147682504249576,0.00263456223772361,98.5,88,44,67,139,87.3,FALSE
